ID,Customer_Churn
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,1
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,0
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,1
400,0
401,1
402,0
403,1
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,1
422,0
423,0
424,1
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,0
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,1
506,0
507,0
508,1
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,1
534,0
535,0
536,1
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,0
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,0
582,0
583,1
584,1
585,1
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,0
595,1
596,1
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,1
614,0
615,0
616,1
617,0
618,1
619,0
620,1
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,0
629,1
630,0
631,1
632,0
633,1
634,0
635,0
636,1
637,1
638,0
639,0
640,0
641,1
642,0
643,1
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,1
656,0
657,1
658,1
659,1
660,0
661,1
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,1
690,1
691,1
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,0
701,1
702,1
703,1
704,0
705,1
706,0
707,0
708,0
709,1
710,1
711,0
712,0
713,1
714,1
715,1
716,1
717,1
718,1
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,0
728,0
729,1
730,0
731,0
732,1
733,0
734,1
735,1
736,1
737,1
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,0
751,1
752,0
753,1
754,1
755,1
756,1
757,1
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,1
770,1
771,0
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,0
793,0
794,1
795,1
796,1
797,1
798,1
799,0
800,0
801,1
802,0
803,0
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,0
812,1
813,0
814,1
815,0
816,0
817,0
818,1
819,1
820,1
821,1
822,0
823,0
824,0
825,1
826,0
827,1
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,1
838,0
839,0
840,0
841,0
842,0
